id,name,sex,age,height,weight,year,season,sport,event,medal,country
99165,Ronald Rauhe,M,26,179,82,2008,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,Germany
99165,Ronald Rauhe,M,34,179,82,2016,Summer,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze,Germany
99252,Mary Elise Ray,F,18,152,48,2000,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze,USA
99273,Lisa Raymond,F,38,165,55,2012,Summer,Tennis,Tennis Mixed Doubles,Bronze,USA
99281,Alexis Raynaud,M,21,172,78,2016,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze,France
99326,Ihor Anatoliyovych Razoronov,M,34,181,105,2004,Summer,Weightlifting,Weightlifting Men's Heavyweight,Silver,Ukraine
99334,Giuliano Razzoli,M,25,182,88,2010,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Gold,Italy
99336,Nikola Raen,M,23,187,94,2008,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
99336,Nikola Raen,M,27,187,94,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
99346,Jason Read,M,26,185,83,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold,USA
99381,Carla Rebecchi,F,23,163,55,2008,Summer,Hockey,Hockey Women's Hockey,Bronze,Argentina
99381,Carla Rebecchi,F,27,163,55,2012,Summer,Hockey,Hockey Women's Hockey,Silver,Argentina
99394,Viktoria Rebensburg,F,20,170,67,2010,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold,Germany
99394,Viktoria Rebensburg,F,24,170,67,2014,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze,Germany
99425,Elise Maree Rechichi,F,22,162,48,2008,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold,Australia
99436,Jonas Reckermann,M,33,201,98,2012,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,Germany
99437,Rob Reckers,M,22,189,75,2004,Summer,Hockey,Hockey Men's Hockey,Silver,Netherlands
99456,Michael Wesley Redd,M,28,198,98,2008,Summer,Basketball,Basketball Men's Basketball,Gold,USA
99460,"Catherine Anne ""Cat"" Reddick (-Whitehill)",F,22,170,68,2004,Summer,Football,Football Women's Football,Gold,USA
99472,"Stephen Geoffrey ""Steven"" Redgrave",M,38,193,103,2000,Summer,Rowing,Rowing Men's Coxless Fours,Gold,UK
99485,Andrs Rdli,M,32,193,83,2016,Summer,Fencing,"Fencing Men's epee, Team",Bronze,Hungary
