id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
2608,Yevgeny Vasilyevich Aleynikov,M,33,181,88,2000,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze,Russia,1
2610,Abdoul Razak Issoufou Alfaga,M,21,207,90,2016,Summer,Taekwondo,Taekwondo Men's Heavyweight,Silver,Niger,1
2639,Hans Daniel Alfredsson,M,33,182,92,2006,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Sweden,1
2639,Hans Daniel Alfredsson,M,41,182,92,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden,1
2651,Sara Anneli Algotsson Ostholt,F,37,163,56,2012,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Sweden,1
2695,Nia Sifaatihii Ali,F,27,170,65,2016,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver,USA,1
2735,Sergey Gennadyevich Alifirenko,M,41,168,72,2000,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,Russia,1
2735,Sergey Gennadyevich Alifirenko,M,45,168,72,2004,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,Russia,1
2739,Mirko Alilovi,M,26,200,110,2012,Summer,Handball,Handball Men's Handball,Bronze,Croatia,1
2750,Aline Pellegrino,F,22,180,71,2004,Summer,Football,Football Women's Football,Silver,Brazil,1
2755,Aleksey Aleksandrovich Alipov,M,29,175,80,2004,Summer,Shooting,Shooting Men's Trap,Gold,Russia,1
2755,Aleksey Aleksandrovich Alipov,M,32,175,80,2008,Summer,Shooting,Shooting Men's Trap,Bronze,Russia,1
2758,Alison Conte Cerutti,M,26,203,106,2012,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil,1
2758,Alison Conte Cerutti,M,30,203,106,2016,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,Brazil,1
2760,Deji Aliu,M,28,187,75,2004,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Nigeria,1
2762,Margarita Sergeyevna Aliychuk,F,17,174,48,2008,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,Russia,1
2769,Kimia Alizadeh Zenoorin,F,18,185,57,2016,Summer,Taekwondo,Taekwondo Women's Featherweight,Bronze,Iran,1
2794,Mohamed Allalou,M,26,174,63,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze,Algeria,1
2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34,163,53,2004,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold,Austria,1
2850,"Kate Ruth ""Katie"" Allen",F,26,170,65,2000,Summer,Hockey,Hockey Women's Hockey,Gold,Australia,1
2863,Walter Ray Allen,M,25,192,93,2000,Summer,Basketball,Basketball Men's Basketball,Gold,USA,1
2874,Wyatt Allen,M,25,193,98,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold,USA,1
2874,Wyatt Allen,M,29,193,98,2008,Summer,Rowing,Rowing Men's Coxed Eights,Bronze,USA,1
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,21,170,59,2000,Summer,Softball,Softball Women's Softball,Bronze,Australia,1
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,25,170,59,2004,Summer,Softball,Softball Women's Softball,Silver,Australia,1
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,29,170,59,2008,Summer,Softball,Softball Women's Softball,Bronze,Australia,1
2877,"Katherine Fiona ""Kate"" Allenby",F,26,177,72,2000,Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze,UK,1
2892,Ade Franci Alleyne-Forte,M,23,180,73,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Trinidad and Tobago,1
2930,Carmela Allucci,F,34,167,60,2004,Summer,Water Polo,Water Polo Women's Water Polo,Gold,Italy,1
2965,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29,170,69,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Sweden,1
